Dấu thời gian,trainee,id,최종 학위 수준,출신 학교 수준,학점,총 경력 연수,직무 연관성,성과 및 기여도,전문교육 수료 여부,기업 내 교육 참여,자기개발 노력,직무 관련 자격증 (적합도),자격증 수준,자격증 최신성,기타
02/07/2025 11:45:43,15,01,학사,중상위권 대학,2.5~2.99 / C,3-5년,일부 유사,성과 기재 부족,최근 3년 내 2개 이상 수료,기본 교육 이수,관련 분야 학습 기록 있음,낮음,실무 관련성 낮음,무효/만료,
02/07/2025 11:47:44,15,02,학사,중상위권 대학,3.0~3.49 / B,3-5년,유사 직무 다수 경험,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,단기 교육만 있음,관련 분야 학습 기록 있음,보통,기초 수준 자격,"5년 이상 경과, 갱신 예정",
02/07/2025 11:48:59,15,03,학사,중상위권 대학,2.49 이하,1년 미만,무관한 분야,관련 정보 없음,오래된 교육만 있음,없음,학습 시도 1회 이상,보통,기초 수준 자격,"5년 이상 경과, 갱신 예정",
02/07/2025 11:51:34,15,04,석사,중상위권 대학,2.49 이하,6-9년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 1개 수료,단기 교육만 있음,관련 분야 학습 기록 있음,높음,기초 수준 자격,"5년 이상 경과, 갱신 예정",
02/07/2025 11:57:34,15,05,학사,중상위권 대학,4.0 이상 / A 이상,3-5년,유사 직무 다수 경험,"성실 근무, 무평가",최근 3년 내 1개 수료,단기 교육만 있음,학습 시도 1회 이상,보통,기초 수준 자격,"5년 이상 경과, 갱신 예정",
02/07/2025 11:59:22,15,06,학사,상위권 대학,2.5~2.99 / C,1-2년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,없음,"지속적 학습, 자격 취득 노력 있음",매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 12:00:29,15,07,학사,국내외 최상위권 대학,2.49 이하,6-9년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 1개 수료,정기 교육 다수 이수,"지속적 학습, 자격 취득 노력 있음",매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 12:01:47,15,08,전문대졸,중상위권 대학,2.49 이하,1-2년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,없음,관련 분야 학습 기록 있음,보통,기초 수준 자격,3~5년 이내 취득,
02/07/2025 12:03:29,15,09,전문대졸,상위권 대학,4.0 이상 / A 이상,1-2년,유사 직무 다수 경험,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",낮음,실무 관련성 낮음,"5년 이상 경과, 갱신 예정",
02/07/2025 12:04:19,15,10,전문대졸,중상위권 대학,4.0 이상 / A 이상,3-5년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 12:05:16,15,11,박사 이상,상위권 대학,2.49 이하,10년 이상,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,기본 교육 이수,관련 분야 학습 기록 있음,매우 낮음,무의미/불명확 자격,무효/만료,
02/07/2025 12:06:02,15,12,박사 이상,국내외 최상위권 대학,2.49 이하,6-9년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,기본 교육 이수,"지속적 학습, 자격 취득 노력 있음",보통,기초 수준 자격,3~5년 이내 취득,
02/07/2025 12:06:43,15,13,석사,국내외 최상위권 대학,2.49 이하,6-9년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 1개 수료,기본 교육 이수,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 12:07:03,01,01,학사,중상위권 대학,3.0~3.49 / B,1-2년,일부 유사,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,없음,관련 분야 학습 기록 있음,보통,기초 수준 자격,3~5년 이내 취득,
02/07/2025 12:12:50,01,02,학사,중상위권 대학,3.0~3.49 / B,1년 미만,직무 전환 경험 있음,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,없음,학습 시도 1회 이상,높음,기초 수준 자격,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 12:28:34,01,03,학사,중상위권 대학,3.0~3.49 / B,1년 미만,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원","5년 이상 경과, 갱신 예정",
02/07/2025 12:32:03,01,04,학사,중상위권 대학,3.5~3.99 / B+,1-2년,완전 일치,"성실 근무, 무평가",최근 3년 내 1개 수료,기본 교육 이수,관련 분야 학습 기록 있음,높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 12:36:28,01,05,전문대졸,무인증 교육기관,3.0~3.49 / B,3-5년,유사 직무 다수 경험,수치화된 성과 및 수상 다수,없음,없음,관련 없음,보통,무의미/불명확 자격,무효/만료,
02/07/2025 12:44:33,01,06,학사,상위권 대학,3.5~3.99 / B+,1년 미만,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 12:47:19,01,07,학사,상위권 대학,3.5~3.99 / B+,3-5년,완전 일치,수치화된 성과 및 수상 다수,최근 3년 내 1개 수료,없음,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 12:50:05,01,08,학사,중상위권 대학,3.5~3.99 / B+,1년 미만,일부 유사,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 1개 수료,없음,관련 없음,보통,기초 수준 자격,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:03:01,01,09,학사,상위권 대학,4.0 이상 / A 이상,1-2년,일부 유사,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:06:41,01,10,학사,중상위권 대학,3.0~3.49 / B,3-5년,직무 전환 경험 있음,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",보통,기초 수준 자격,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:10:55,01,11,석사,상위권 대학,4.0 이상 / A 이상,1-2년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,정기 교육 다수 이수,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:14:30,01,12,학사,상위권 대학,3.0~3.49 / B,1년 미만,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,단기 교육만 있음,"지속적 학습, 자격 취득 노력 있음",매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:17:43,01,18,학사,중상위권 대학,2.5~2.99 / C,1년 미만,유사 직무 다수 경험,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,단기 교육만 있음,"지속적 학습, 자격 취득 노력 있음",보통,기초 수준 자격,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:28:08,01,19,학사,상위권 대학,3.0~3.49 / B,1-2년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",보통,기초 수준 자격,최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:35:17,01,20,학사,중상위권 대학,3.5~3.99 / B+,3-5년,완전 일치,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 14:43:04,01,21,학사,중상위권 대학,3.5~3.99 / B+,1-2년,일부 유사,수치화된 성과 및 수상 다수,최근 3년 내 2개 이상 수료,없음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",3~5년 이내 취득,
02/07/2025 14:49:26,01,22,학사,중상위권 대학,3.0~3.49 / B,1년 미만,일부 유사,관련 정보 없음,없음,없음,관련 없음,보통,기초 수준 자격,오래되었고 활용 미미,
02/07/2025 14:56:35,01,23,학사,중상위권 대학,3.5~3.99 / B+,1-2년,유사 직무 다수 경험,"팀 프로젝트 리드, 우수 성과 1건 이상",최근 3년 내 2개 이상 수료,단기 교육만 있음,"지속적 학습, 자격 취득 노력 있음",높음,"난이도 중, 실무 일부 지원",최근 3년 이내 취득 및 갱신 완료,
02/07/2025 15:04:06,01,24,학사,중상위권 대학,3.0~3.49 / B,1-2년,일부 유사,"성실 근무, 무평가",없음,없음,관련 없음,매우 높음,"난이도 상, 실무 강력 지원",최근 3년 이내 취득 및 갱신 완료,
