trainee,id,cat,subcat,grade
15,1,학력,최종 학위 수준,C
15,1,학력,출신 학교 수준,C
15,1,학점,출신 학교 수준,D
15,1,경력,총 경력 연수,C
15,1,경력,직무 연관성,C
15,1,경력,성과 및 기여도,D
15,1,교육이력,전문교육 수료 여부,B
15,1,교육이력,기업 내 교육 참여,C
15,1,교육이력,자기개발 노력,B
15,1,자격증,직무 관련 자격증 (적합도),D
15,1,자격증,자격증 수준,D
15,1,자격증,자격증 최신성,E
15,2,학력,최종 학위 수준,C
15,2,학력,출신 학교 수준,C
15,2,학점,출신 학교 수준,C
15,2,경력,총 경력 연수,C
15,2,경력,직무 연관성,B
15,2,경력,성과 및 기여도,B
15,2,교육이력,전문교육 수료 여부,C
15,2,교육이력,기업 내 교육 참여,D
15,2,교육이력,자기개발 노력,B
15,2,자격증,직무 관련 자격증 (적합도),C
15,2,자격증,자격증 수준,C
15,2,자격증,자격증 최신성,C
15,3,학력,최종 학위 수준,C
15,3,학력,출신 학교 수준,C
15,3,학점,출신 학교 수준,E
15,3,경력,총 경력 연수,E
15,3,경력,직무 연관성,E
15,3,경력,성과 및 기여도,E
15,3,교육이력,전문교육 수료 여부,D
15,3,교육이력,기업 내 교육 참여,E
15,3,교육이력,자기개발 노력,C
15,3,자격증,직무 관련 자격증 (적합도),C
15,3,자격증,자격증 수준,C
15,3,자격증,자격증 최신성,C
15,4,학력,최종 학위 수준,B
15,4,학력,출신 학교 수준,C
15,4,학점,출신 학교 수준,E
15,4,경력,총 경력 연수,B
15,4,경력,직무 연관성,A
15,4,경력,성과 및 기여도,A
15,4,교육이력,전문교육 수료 여부,C
15,4,교육이력,기업 내 교육 참여,D
15,4,교육이력,자기개발 노력,B
15,4,자격증,직무 관련 자격증 (적합도),B
15,4,자격증,자격증 수준,C
15,4,자격증,자격증 최신성,C
15,5,학력,최종 학위 수준,C
15,5,학력,출신 학교 수준,C
15,5,학점,출신 학교 수준,A
15,5,경력,총 경력 연수,C
15,5,경력,직무 연관성,B
15,5,경력,성과 및 기여도,C
15,5,교육이력,전문교육 수료 여부,C
15,5,교육이력,기업 내 교육 참여,D
15,5,교육이력,자기개발 노력,C
