trainee,id,cat,subcat,grade
7,1,성장과정,가치관,B
7,1,성장과정,가족/환경의 영향,A
7,1,성장과정,전환점/특별한 경험,D
7,1,성격의 장단점,장점 기술,B
7,1,성격의 장단점,단점 기술 및 극복 노력,B
7,1,성격의 장단점,대인관계 성향,C
7,1,학창시절,학업 태도,A
7,1,학창시절,활동 참여,B
7,1,학창시절,성취 및 도전 경험,D
7,1,지원동기,회사/직무 이해도,D
7,1,지원동기,지원 이유의 명확성,D
7,1,지원동기,직무 적합성 강조,E
7,1,입사 후 포부,단기 목표,E
7,1,입사 후 포부,장기 비전,E
7,1,입사 후 포부,기여 방안,D
7,1,직무 경험,실무 경험,E
7,1,직무 경험,직무 관련 능력,E
7,1,직무 경험,문제 해결력,E
7,2,성장과정,가치관,A
7,2,성장과정,가족/환경의 영향,A
7,2,성장과정,전환점/특별한 경험,A
7,2,성격의 장단점,장점 기술,A
7,2,성격의 장단점,단점 기술 및 극복 노력,A
7,2,성격의 장단점,대인관계 성향,A
7,2,학창시절,학업 태도,A
7,2,학창시절,활동 참여,D
7,2,학창시절,성취 및 도전 경험,B
7,2,지원동기,회사/직무 이해도,D
7,2,지원동기,지원 이유의 명확성,D
7,2,지원동기,직무 적합성 강조,E
7,2,입사 후 포부,단기 목표,E
7,2,입사 후 포부,장기 비전,E
7,2,입사 후 포부,기여 방안,E
7,2,직무 경험,실무 경험,E
7,2,직무 경험,직무 관련 능력,E
7,2,직무 경험,문제 해결력,C
7,3,성장과정,가치관,A
7,3,성장과정,가족/환경의 영향,C
7,3,성장과정,전환점/특별한 경험,A
7,3,성격의 장단점,장점 기술,A
7,3,성격의 장단점,단점 기술 및 극복 노력,A
7,3,성격의 장단점,대인관계 성향,A
7,3,학창시절,학업 태도,A
7,3,학창시절,활동 참여,A
7,3,학창시절,성취 및 도전 경험,A
7,3,지원동기,회사/직무 이해도,B
7,3,지원동기,지원 이유의 명확성,A
7,3,지원동기,직무 적합성 강조,E
7,3,입사 후 포부,단기 목표,A
7,3,입사 후 포부,장기 비전,A
7,3,입사 후 포부,기여 방안,C
7,3,직무 경험,실무 경험,B
7,3,직무 경험,직무 관련 능력,B
7,3,직무 경험,문제 해결력,A
7,4,성장과정,가치관,A
7,4,성장과정,가족/환경의 영향,E
7,4,성장과정,전환점/특별한 경험,B
7,4,성격의 장단점,장점 기술,B
7,4,성격의 장단점,단점 기술 및 극복 노력,B
7,4,성격의 장단점,대인관계 성향,C
7,4,학창시절,학업 태도,B
7,4,학창시절,활동 참여,C
7,4,학창시절,성취 및 도전 경험,C
7,4,지원동기,회사/직무 이해도,B
7,4,지원동기,지원 이유의 명확성,B
7,4,지원동기,직무 적합성 강조,E
7,4,입사 후 포부,단기 목표,C
7,4,입사 후 포부,장기 비전,C
7,4,입사 후 포부,기여 방안,C
7,4,직무 경험,실무 경험,C
7,4,직무 경험,직무 관련 능력,B
7,4,직무 경험,문제 해결력,B
7,5,성장과정,가치관,C
7,5,성장과정,가족/환경의 영향,B
7,5,성장과정,전환점/특별한 경험,C
7,5,성격의 장단점,장점 기술,B
7,5,성격의 장단점,단점 기술 및 극복 노력,B
7,5,성격의 장단점,대인관계 성향,C
7,5,학창시절,학업 태도,C
7,5,학창시절,활동 참여,D
7,5,학창시절,성취 및 도전 경험,D
7,5,지원동기,회사/직무 이해도,D
7,5,지원동기,지원 이유의 명확성,D
7,5,지원동기,직무 적합성 강조,E
7,5,입사 후 포부,단기 목표,E
7,5,입사 후 포부,장기 비전,E
7,5,입사 후 포부,기여 방안,E
7,5,직무 경험,실무 경험,C
7,5,직무 경험,직무 관련 능력,D
7,5,직무 경험,문제 해결력,D
7,6,성장과정,가치관,B
7,6,성장과정,가족/환경의 영향,B
7,6,성장과정,전환점/특별한 경험,B
7,6,성격의 장단점,장점 기술,B
7,6,성격의 장단점,단점 기술 및 극복 노력,B
7,6,성격의 장단점,대인관계 성향,B
7,6,학창시절,학업 태도,B
7,6,학창시절,활동 참여,B
7,6,학창시절,성취 및 도전 경험,B
7,6,지원동기,회사/직무 이해도,B
7,6,지원동기,지원 이유의 명확성,B
7,6,지원동기,직무 적합성 강조,E
7,6,입사 후 포부,단기 목표,B
7,6,입사 후 포부,장기 비전,B
7,6,입사 후 포부,기여 방안,B
7,6,직무 경험,실무 경험,C
7,6,직무 경험,직무 관련 능력,C
7,6,직무 경험,문제 해결력,C
7,7,성장과정,가치관,A
7,7,성장과정,가족/환경의 영향,A
7,7,성장과정,전환점/특별한 경험,C
7,7,성격의 장단점,장점 기술,B
7,7,성격의 장단점,단점 기술 및 극복 노력,B
7,7,성격의 장단점,대인관계 성향,B
7,7,학창시절,학업 태도,B
7,7,학창시절,활동 참여,B
7,7,학창시절,성취 및 도전 경험,D
7,7,지원동기,회사/직무 이해도,C
7,7,지원동기,지원 이유의 명확성,C
7,7,지원동기,직무 적합성 강조,E
7,7,입사 후 포부,단기 목표,C
7,7,입사 후 포부,장기 비전,C
7,7,입사 후 포부,기여 방안,C
7,7,직무 경험,실무 경험,D
7,7,직무 경험,직무 관련 능력,E
7,7,직무 경험,문제 해결력,C
7,8,성장과정,가치관,B
7,8,성장과정,가족/환경의 영향,B
7,8,성장과정,전환점/특별한 경험,C
7,8,성격의 장단점,장점 기술,B
7,8,성격의 장단점,단점 기술 및 극복 노력,B
7,8,성격의 장단점,대인관계 성향,B
7,8,학창시절,학업 태도,B
7,8,학창시절,활동 참여,B
7,8,학창시절,성취 및 도전 경험,D
7,8,지원동기,회사/직무 이해도,C
7,8,지원동기,지원 이유의 명확성,C
7,8,지원동기,직무 적합성 강조,E
7,8,입사 후 포부,단기 목표,D
7,8,입사 후 포부,장기 비전,E
7,8,입사 후 포부,기여 방안,C
7,8,직무 경험,실무 경험,C
7,8,직무 경험,직무 관련 능력,C
7,8,직무 경험,문제 해결력,C
7,9,성장과정,가치관,C
7,9,성장과정,가족/환경의 영향,C
7,9,성장과정,전환점/특별한 경험,C
7,9,성격의 장단점,장점 기술,C
7,9,성격의 장단점,단점 기술 및 극복 노력,D
7,9,성격의 장단점,대인관계 성향,D
7,9,학창시절,학업 태도,D
7,9,학창시절,활동 참여,D
7,9,학창시절,성취 및 도전 경험,D
7,9,지원동기,회사/직무 이해도,D
7,9,지원동기,지원 이유의 명확성,D
7,9,지원동기,직무 적합성 강조,E
7,9,입사 후 포부,단기 목표,D
7,9,입사 후 포부,장기 비전,D
7,9,입사 후 포부,기여 방안,D
7,9,직무 경험,실무 경험,C
7,9,직무 경험,직무 관련 능력,E
7,9,직무 경험,문제 해결력,D
7,10,성장과정,가치관,B
7,10,성장과정,가족/환경의 영향,C
7,10,성장과정,전환점/특별한 경험,C
7,10,성격의 장단점,장점 기술,D
7,10,성격의 장단점,단점 기술 및 극복 노력,D
7,10,성격의 장단점,대인관계 성향,D
7,10,학창시절,학업 태도,C
7,10,학창시절,활동 참여,C
7,10,학창시절,성취 및 도전 경험,D
7,10,지원동기,회사/직무 이해도,D
7,10,지원동기,지원 이유의 명확성,C
7,10,지원동기,직무 적합성 강조,E
7,10,입사 후 포부,단기 목표,D
7,10,입사 후 포부,장기 비전,D
7,10,입사 후 포부,기여 방안,E
7,10,직무 경험,실무 경험,D
7,10,직무 경험,직무 관련 능력,C
7,10,직무 경험,문제 해결력,E
6,1,성장과정,가치관,A
6,1,성장과정,가족/환경의 영향,B
6,1,성장과정,전환점/특별한 경험,A
6,1,성격의 장단점,장점 기술,A
6,1,성격의 장단점,단점 기술 및 극복 노력,C
6,1,성격의 장단점,대인관계 성향,A
6,1,학창시절,학업 태도,A
6,1,학창시절,활동 참여,A
6,1,학창시절,성취 및 도전 경험,A
6,1,지원동기,회사/직무 이해도,A
6,1,지원동기,지원 이유의 명확성,A
6,1,지원동기,직무 적합성 강조,E
6,1,입사 후 포부,단기 목표,A
6,1,입사 후 포부,장기 비전,A
6,1,입사 후 포부,기여 방안,A
6,1,직무 경험,실무 경험,A
6,1,직무 경험,직무 관련 능력,A
6,1,직무 경험,문제 해결력,A
6,2,성장과정,가치관,A
6,2,성장과정,가족/환경의 영향,B
6,2,성장과정,전환점/특별한 경험,A
6,2,성격의 장단점,장점 기술,A
6,2,성격의 장단점,단점 기술 및 극복 노력,E
6,2,성격의 장단점,대인관계 성향,A
6,2,학창시절,학업 태도,A
6,2,학창시절,활동 참여,A
6,2,학창시절,성취 및 도전 경험,A
6,2,지원동기,회사/직무 이해도,A
6,2,지원동기,지원 이유의 명확성,A
6,2,지원동기,직무 적합성 강조,E
6,2,입사 후 포부,단기 목표,A
6,2,입사 후 포부,장기 비전,A
6,2,입사 후 포부,기여 방안,A
6,2,직무 경험,실무 경험,A
6,2,직무 경험,직무 관련 능력,A
6,2,직무 경험,문제 해결력,A
6,3,성장과정,가치관,A
6,3,성장과정,가족/환경의 영향,B
6,3,성장과정,전환점/특별한 경험,A
6,3,성격의 장단점,장점 기술,A
6,3,성격의 장단점,단점 기술 및 극복 노력,D
6,3,성격의 장단점,대인관계 성향,A
6,3,학창시절,학업 태도,A
6,3,학창시절,활동 참여,A
6,3,학창시절,성취 및 도전 경험,A
6,3,지원동기,회사/직무 이해도,A
6,3,지원동기,지원 이유의 명확성,A
6,3,지원동기,직무 적합성 강조,E
6,3,입사 후 포부,단기 목표,A
6,3,입사 후 포부,장기 비전,A
6,3,입사 후 포부,기여 방안,A
6,3,직무 경험,실무 경험,A
6,3,직무 경험,직무 관련 능력,A
6,3,직무 경험,문제 해결력,A
6,4,성장과정,가치관,A
6,4,성장과정,가족/환경의 영향,B
6,4,성장과정,전환점/특별한 경험,A
6,4,성격의 장단점,장점 기술,A
6,4,성격의 장단점,단점 기술 및 극복 노력,E
6,4,성격의 장단점,대인관계 성향,A
6,4,학창시절,학업 태도,A
6,4,학창시절,활동 참여,A
6,4,학창시절,성취 및 도전 경험,A
6,4,지원동기,회사/직무 이해도,A
6,4,지원동기,지원 이유의 명확성,A
6,4,지원동기,직무 적합성 강조,E
6,4,입사 후 포부,단기 목표,A
6,4,입사 후 포부,장기 비전,A
6,4,입사 후 포부,기여 방안,A
6,4,직무 경험,실무 경험,A
6,4,직무 경험,직무 관련 능력,A
6,4,직무 경험,문제 해결력,A
6,5,성장과정,가치관,A
6,5,성장과정,가족/환경의 영향,B
6,5,성장과정,전환점/특별한 경험,A
6,5,성격의 장단점,장점 기술,A
6,5,성격의 장단점,단점 기술 및 극복 노력,E
6,5,성격의 장단점,대인관계 성향,A
6,5,학창시절,학업 태도,A
6,5,학창시절,활동 참여,A
6,5,학창시절,성취 및 도전 경험,A
6,5,지원동기,회사/직무 이해도,A
6,5,지원동기,지원 이유의 명확성,A
6,5,지원동기,직무 적합성 강조,E
6,5,입사 후 포부,단기 목표,A
6,5,입사 후 포부,장기 비전,A
6,5,입사 후 포부,기여 방안,A
6,5,직무 경험,실무 경험,A
6,5,직무 경험,직무 관련 능력,A
6,5,직무 경험,문제 해결력,A
6,6,성장과정,가치관,B
6,6,성장과정,가족/환경의 영향,B
6,6,성장과정,전환점/특별한 경험,A
6,6,성격의 장단점,장점 기술,A
6,6,성격의 장단점,단점 기술 및 극복 노력,D
6,6,성격의 장단점,대인관계 성향,A
6,6,학창시절,학업 태도,A
6,6,학창시절,활동 참여,A
6,6,학창시절,성취 및 도전 경험,A
6,6,지원동기,회사/직무 이해도,A
6,6,지원동기,지원 이유의 명확성,A
6,6,지원동기,직무 적합성 강조,E
6,6,입사 후 포부,단기 목표,A
6,6,입사 후 포부,장기 비전,A
6,6,입사 후 포부,기여 방안,A
6,6,직무 경험,실무 경험,A
6,6,직무 경험,직무 관련 능력,A
6,6,직무 경험,문제 해결력,A
6,7,성장과정,가치관,B
6,7,성장과정,가족/환경의 영향,B
6,7,성장과정,전환점/특별한 경험,B
6,7,성격의 장단점,장점 기술,B
6,7,성격의 장단점,단점 기술 및 극복 노력,D
6,7,성격의 장단점,대인관계 성향,B
6,7,학창시절,학업 태도,B
6,7,학창시절,활동 참여,A
6,7,학창시절,성취 및 도전 경험,B
6,7,지원동기,회사/직무 이해도,C
6,7,지원동기,지원 이유의 명확성,B
6,7,지원동기,직무 적합성 강조,E
6,7,입사 후 포부,단기 목표,C
6,7,입사 후 포부,장기 비전,C
6,7,입사 후 포부,기여 방안,C
6,7,직무 경험,실무 경험,C
6,7,직무 경험,직무 관련 능력,B
6,7,직무 경험,문제 해결력,B
6,8,성장과정,가치관,A
6,8,성장과정,가족/환경의 영향,B
6,8,성장과정,전환점/특별한 경험,A
6,8,성격의 장단점,장점 기술,A
6,8,성격의 장단점,단점 기술 및 극복 노력,D
6,8,성격의 장단점,대인관계 성향,A
6,8,학창시절,학업 태도,A
6,8,학창시절,활동 참여,A
6,8,학창시절,성취 및 도전 경험,A
6,8,지원동기,회사/직무 이해도,A
6,8,지원동기,지원 이유의 명확성,A
6,8,지원동기,직무 적합성 강조,E
6,8,입사 후 포부,단기 목표,A
6,8,입사 후 포부,장기 비전,A
6,8,입사 후 포부,기여 방안,A
6,8,직무 경험,실무 경험,A
6,8,직무 경험,직무 관련 능력,A
6,8,직무 경험,문제 해결력,A
6,9,성장과정,가치관,A
6,9,성장과정,가족/환경의 영향,B
6,9,성장과정,전환점/특별한 경험,A
6,9,성격의 장단점,장점 기술,A
6,9,성격의 장단점,단점 기술 및 극복 노력,D
6,9,성격의 장단점,대인관계 성향,A
6,9,학창시절,학업 태도,A
6,9,학창시절,활동 참여,A
6,9,학창시절,성취 및 도전 경험,A
6,9,지원동기,회사/직무 이해도,A
6,9,지원동기,지원 이유의 명확성,A
6,9,지원동기,직무 적합성 강조,E
6,9,입사 후 포부,단기 목표,A
6,9,입사 후 포부,장기 비전,A
6,9,입사 후 포부,기여 방안,A
6,9,직무 경험,실무 경험,A
6,9,직무 경험,직무 관련 능력,A
6,9,직무 경험,문제 해결력,A
6,10,성장과정,가치관,C
6,10,성장과정,가족/환경의 영향,E
6,10,성장과정,전환점/특별한 경험,C
6,10,성격의 장단점,장점 기술,C
6,10,성격의 장단점,단점 기술 및 극복 노력,E
6,10,성격의 장단점,대인관계 성향,C
6,10,학창시절,학업 태도,C
6,10,학창시절,활동 참여,C
6,10,학창시절,성취 및 도전 경험,C
6,10,지원동기,회사/직무 이해도,D
6,10,지원동기,지원 이유의 명확성,C
6,10,지원동기,직무 적합성 강조,E
6,10,입사 후 포부,단기 목표,D
6,10,입사 후 포부,장기 비전,D
6,10,입사 후 포부,기여 방안,D
6,10,직무 경험,실무 경험,C
6,10,직무 경험,직무 관련 능력,C
6,10,직무 경험,문제 해결력,E
6,12,성장과정,가치관,C
6,12,성장과정,가족/환경의 영향,C
6,12,성장과정,전환점/특별한 경험,C
6,12,성격의 장단점,장점 기술,C
6,12,성격의 장단점,단점 기술 및 극복 노력,D
6,12,성격의 장단점,대인관계 성향,D
6,12,학창시절,학업 태도,C
6,12,학창시절,활동 참여,C
6,12,학창시절,성취 및 도전 경험,C
6,12,지원동기,회사/직무 이해도,E
6,12,지원동기,지원 이유의 명확성,E
6,12,지원동기,직무 적합성 강조,E
6,12,입사 후 포부,단기 목표,E
6,12,입사 후 포부,장기 비전,E
6,12,입사 후 포부,기여 방안,E
6,12,직무 경험,실무 경험,E
6,12,직무 경험,직무 관련 능력,E
6,12,직무 경험,문제 해결력,E
6,13,성장과정,가치관,D
6,13,성장과정,가족/환경의 영향,D
6,13,성장과정,전환점/특별한 경험,D
6,13,성격의 장단점,장점 기술,E
6,13,성격의 장단점,단점 기술 및 극복 노력,E
6,13,성격의 장단점,대인관계 성향,E
6,13,학창시절,학업 태도,D
6,13,학창시절,활동 참여,E
6,13,학창시절,성취 및 도전 경험,E
6,13,지원동기,회사/직무 이해도,E
6,13,지원동기,지원 이유의 명확성,E
6,13,지원동기,직무 적합성 강조,E
6,13,입사 후 포부,단기 목표,E
6,13,입사 후 포부,장기 비전,E
6,13,입사 후 포부,기여 방안,E
6,13,직무 경험,실무 경험,E
6,13,직무 경험,직무 관련 능력,E
6,13,직무 경험,문제 해결력,E
6,14,성장과정,가치관,D
6,14,성장과정,가족/환경의 영향,D
6,14,성장과정,전환점/특별한 경험,D
6,14,성격의 장단점,장점 기술,D
6,14,성격의 장단점,단점 기술 및 극복 노력,E
6,14,성격의 장단점,대인관계 성향,E
6,14,학창시절,학업 태도,C
6,14,학창시절,활동 참여,E
6,14,학창시절,성취 및 도전 경험,D
6,14,지원동기,회사/직무 이해도,E
6,14,지원동기,지원 이유의 명확성,D
6,14,지원동기,직무 적합성 강조,E
6,14,입사 후 포부,단기 목표,E
6,14,입사 후 포부,장기 비전,E
6,14,입사 후 포부,기여 방안,E
6,14,직무 경험,실무 경험,E
6,14,직무 경험,직무 관련 능력,D
6,14,직무 경험,문제 해결력,E
6,15,성장과정,가치관,D
6,15,성장과정,가족/환경의 영향,E
6,15,성장과정,전환점/특별한 경험,D
6,15,성격의 장단점,장점 기술,E
6,15,성격의 장단점,단점 기술 및 극복 노력,E
6,15,성격의 장단점,대인관계 성향,E
6,15,학창시절,학업 태도,D
6,15,학창시절,활동 참여,D
6,15,학창시절,성취 및 도전 경험,D
6,15,지원동기,회사/직무 이해도,E
6,15,지원동기,지원 이유의 명확성,E
6,15,지원동기,직무 적합성 강조,E
6,15,입사 후 포부,단기 목표,E
6,15,입사 후 포부,장기 비전,E
6,15,입사 후 포부,기여 방안,E
6,15,직무 경험,실무 경험,E
6,15,직무 경험,직무 관련 능력,D
6,15,직무 경험,문제 해결력,E
6,16,성장과정,가치관,D
6,16,성장과정,가족/환경의 영향,E
6,16,성장과정,전환점/특별한 경험,E
6,16,성격의 장단점,장점 기술,E
6,16,성격의 장단점,단점 기술 및 극복 노력,E
6,16,성격의 장단점,대인관계 성향,D
6,16,학창시절,학업 태도,D
6,16,학창시절,활동 참여,D
6,16,학창시절,성취 및 도전 경험,D
6,16,지원동기,회사/직무 이해도,E
6,16,지원동기,지원 이유의 명확성,E
6,16,지원동기,직무 적합성 강조,E
6,16,입사 후 포부,단기 목표,E
6,16,입사 후 포부,장기 비전,E
6,16,입사 후 포부,기여 방안,E
6,16,직무 경험,실무 경험,E
6,16,직무 경험,직무 관련 능력,E
6,16,직무 경험,문제 해결력,E
6,17,성장과정,가치관,D
6,17,성장과정,가족/환경의 영향,E
6,17,성장과정,전환점/특별한 경험,D
6,17,성격의 장단점,장점 기술,D
6,17,성격의 장단점,단점 기술 및 극복 노력,E
6,17,성격의 장단점,대인관계 성향,E
6,17,학창시절,학업 태도,D
6,17,학창시절,활동 참여,D
6,17,학창시절,성취 및 도전 경험,D
6,17,지원동기,회사/직무 이해도,E
6,17,지원동기,지원 이유의 명확성,E
